guard,coreLen,coreTh,exitTh,tp,sl,maxBars,trainN,trainExp,trainPF,trainWin,testN,testExp,testPF,testWin,testDD,robust
none,2,10,60,0,2,0,1079,-0.180,0.904,25.2,516,-0.043,0.971,32.2,-31.5,3
none,2,10,60,0,2,24,1079,-0.180,0.904,25.2,516,-0.043,0.971,32.2,-31.5,3
none,2,10,60,0,2,48,1079,-0.180,0.904,25.2,516,-0.043,0.971,32.2,-31.5,3
none,2,10,60,0,3,0,1014,-0.180,0.926,32.3,469,0.154,1.080,42.5,-30.5,4
none,2,10,60,0,3,24,1014,-0.180,0.926,32.3,469,0.154,1.080,42.5,-30.5,4
none,2,10,60,0,3,48,1014,-0.180,0.926,32.3,469,0.154,1.080,42.5,-30.5,4
none,2,10,60,0,5,0,909,-0.336,0.893,43.2,401,0.106,1.048,52.0,-37.3,4
none,2,10,60,0,5,24,909,-0.336,0.893,43.2,401,0.106,1.048,52.0,-37.3,4
none,2,10,60,0,5,48,909,-0.336,0.893,43.2,401,0.106,1.048,52.0,-37.3,4
none,2,10,60,2,2,0,1081,-0.123,0.933,29.8,516,-0.178,0.873,34.7,-34.3,2
none,2,10,60,2,2,24,1081,-0.123,0.933,29.8,516,-0.178,0.873,34.7,-34.3,2
none,2,10,60,2,2,48,1081,-0.123,0.933,29.8,516,-0.178,0.873,34.7,-34.3,2
none,2,10,60,2,3,0,1017,-0.076,0.967,38.5,470,-0.033,0.973,45.4,-33.0,3
none,2,10,60,2,3,24,1017,-0.076,0.967,38.5,470,-0.033,0.973,45.4,-33.0,3
none,2,10,60,2,3,48,1017,-0.076,0.967,38.5,470,-0.033,0.973,45.4,-33.0,3
none,2,10,60,2,5,0,914,-0.093,0.973,50.2,404,-0.007,0.995,55.8,-39.7,3
none,2,10,60,2,5,24,914,-0.093,0.973,50.2,404,-0.007,0.995,55.8,-39.7,3
none,2,10,60,2,5,48,914,-0.093,0.973,50.2,404,-0.007,0.995,55.8,-39.7,3
none,2,10,60,3,2,0,1081,-0.138,0.928,27.9,516,-0.101,0.929,33.2,-32.1,3
none,2,10,60,3,2,24,1081,-0.138,0.928,27.9,516,-0.101,0.929,33.2,-32.1,3
none,2,10,60,3,2,48,1081,-0.138,0.928,27.9,516,-0.101,0.929,33.2,-32.1,3
none,2,10,60,3,3,0,1017,-0.073,0.972,36.4,469,0.042,1.017,43.2,-33.3,2
none,2,10,60,3,3,24,1017,-0.073,0.972,36.4,469,0.042,1.017,43.2,-33.3,2
none,2,10,60,3,3,48,1017,-0.073,0.972,36.4,469,0.042,1.017,43.2,-33.3,2
none,2,10,60,3,5,0,912,-0.093,0.974,48.3,403,0.048,1.022,53.5,-38.4,3
none,2,10,60,3,5,24,912,-0.093,0.974,48.3,403,0.048,1.022,53.5,-38.4,3
none,2,10,60,3,5,48,912,-0.093,0.974,48.3,403,0.048,1.022,53.5,-38.4,3
none,2,10,70,0,2,0,1076,-0.156,0.918,22.0,514,-0.066,0.965,27.5,-33.5,2
none,2,10,70,0,2,24,1076,-0.156,0.918,22.0,514,-0.066,0.965,27.5,-33.5,2
none,2,10,70,0,2,48,1076,-0.156,0.918,22.0,514,-0.066,0.965,27.5,-33.5,2
none,2,10,70,0,3,0,1008,-0.144,0.942,28.9,467,0.080,1.040,37.1,-34.2,2
none,2,10,70,0,3,24,1008,-0.144,0.942,28.9,467,0.080,1.040,37.1,-34.2,2
none,2,10,70,0,3,48,1008,-0.144,0.942,28.9,467,0.080,1.040,37.1,-34.2,2
none,2,10,70,0,5,0,896,-0.263,0.919,39.3,395,-0.055,0.986,47.4,-40.5,2
none,2,10,70,0,5,24,896,-0.263,0.919,39.3,395,-0.055,0.986,47.4,-40.5,2
none,2,10,70,0,5,48,896,-0.263,0.919,39.3,395,-0.055,0.986,47.4,-40.5,2
none,2,10,70,2,2,0,1081,-0.115,0.939,29.4,516,-0.178,0.876,33.7,-34.3,2
none,2,10,70,2,2,24,1081,-0.115,0.939,29.4,516,-0.178,0.876,33.7,-34.3,2
none,2,10,70,2,2,48,1081,-0.115,0.939,29.4,516,-0.178,0.876,33.7,-34.3,2
none,2,10,70,2,3,0,1017,-0.072,0.969,37.9,469,-0.056,0.963,44.2,-33.7,2
none,2,10,70,2,3,24,1017,-0.072,0.969,37.9,469,-0.056,0.963,44.2,-33.7,2
none,2,10,70,2,3,48,1017,-0.072,0.969,37.9,469,-0.056,0.963,44.2,-33.7,2
none,2,10,70,2,5,0,911,-0.096,0.971,49.3,402,-0.044,0.983,55.3,-39.9,2
none,2,10,70,2,5,24,911,-0.096,0.971,49.3,402,-0.044,0.983,55.3,-39.9,2
none,2,10,70,2,5,48,911,-0.096,0.971,49.3,402,-0.044,0.983,55.3,-39.9,2
none,2,10,70,3,2,0,1081,-0.145,0.925,26.8,516,-0.074,0.949,31.4,-31.2,2
none,2,10,70,3,2,24,1081,-0.145,0.925,26.8,516,-0.074,0.949,31.4,-31.2,2
none,2,10,70,3,2,48,1081,-0.145,0.925,26.8,516,-0.074,0.949,31.4,-31.2,2
none,2,10,70,3,3,0,1017,-0.093,0.963,35.2,468,-0.002,0.994,40.5,-34.8,2
none,2,10,70,3,3,24,1017,-0.093,0.963,35.2,468,-0.002,0.994,40.5,-34.8,2
none,2,10,70,3,3,48,1017,-0.093,0.963,35.2,468,-0.002,0.994,40.5,-34.8,2
none,2,10,70,3,5,0,908,-0.111,0.967,46.7,400,0.000,1.003,52.1,-38.4,2
none,2,10,70,3,5,24,908,-0.111,0.967,46.7,400,0.000,1.003,52.1,-38.4,2
none,2,10,70,3,5,48,908,-0.111,0.967,46.7,400,0.000,1.003,52.1,-38.4,2
none,2,15,60,0,2,0,1546,-0.204,0.883,25.3,702,-0.164,0.886,31.7,-42.2,1
none,2,15,60,0,2,24,1546,-0.204,0.883,25.3,702,-0.164,0.886,31.7,-42.2,1
none,2,15,60,0,2,48,1546,-0.204,0.883,25.3,702,-0.164,0.886,31.7,-42.2,1
none,2,15,60,0,3,0,1434,-0.246,0.890,32.5,626,-0.020,0.985,41.9,-40.4,3
none,2,15,60,0,3,24,1434,-0.246,0.890,32.5,626,-0.020,0.985,41.9,-40.4,3
none,2,15,60,0,3,48,1434,-0.246,0.890,32.5,626,-0.020,0.985,41.9,-40.4,3
none,2,15,60,0,5,0,1243,-0.380,0.875,43.1,528,-0.086,0.963,51.7,-47.6,1
none,2,15,60,0,5,24,1243,-0.380,0.875,43.1,528,-0.086,0.963,51.7,-47.6,1
none,2,15,60,0,5,48,1243,-0.380,0.875,43.1,528,-0.086,0.963,51.7,-47.6,1
none,2,15,60,2,2,0,1551,-0.140,0.917,29.8,704,-0.263,0.812,33.9,-45.9,0
none,2,15,60,2,2,24,1551,-0.140,0.917,29.8,704,-0.263,0.812,33.9,-45.9,0
none,2,15,60,2,2,48,1551,-0.140,0.917,29.8,704,-0.263,0.812,33.9,-45.9,0
none,2,15,60,2,3,0,1442,-0.139,0.932,38.5,629,-0.158,0.904,44.4,-45.9,2
none,2,15,60,2,3,24,1442,-0.139,0.932,38.5,629,-0.158,0.904,44.4,-45.9,2
none,2,15,60,2,3,48,1442,-0.139,0.932,38.5,629,-0.158,0.904,44.4,-45.9,2
none,2,15,60,2,5,0,1261,-0.219,0.922,49.5,534,-0.208,0.900,54.7,-52.2,1
none,2,15,60,2,5,24,1261,-0.219,0.922,49.5,534,-0.208,0.900,54.7,-52.2,1
none,2,15,60,2,5,48,1261,-0.219,0.922,49.5,534,-0.208,0.900,54.7,-52.2,1
none,2,15,60,3,2,0,1551,-0.181,0.895,27.5,704,-0.195,0.862,32.6,-43.7,0
none,2,15,60,3,2,24,1551,-0.181,0.895,27.5,704,-0.195,0.862,32.6,-43.7,0
none,2,15,60,3,2,48,1551,-0.181,0.895,27.5,704,-0.195,0.862,32.6,-43.7,0
none,2,15,60,3,3,0,1441,-0.184,0.914,36.0,627,-0.098,0.941,42.5,-45.2,2
none,2,15,60,3,3,24,1441,-0.184,0.914,36.0,627,-0.098,0.941,42.5,-45.2,2
none,2,15,60,3,3,48,1441,-0.184,0.914,36.0,627,-0.098,0.941,42.5,-45.2,2
none,2,15,60,3,5,0,1254,-0.246,0.915,47.5,532,-0.129,0.941,53.0,-49.7,1
none,2,15,60,3,5,24,1254,-0.246,0.915,47.5,532,-0.129,0.941,53.0,-49.7,1
none,2,15,60,3,5,48,1254,-0.246,0.915,47.5,532,-0.129,0.941,53.0,-49.7,1
none,2,15,70,0,2,0,1540,-0.152,0.914,22.5,698,-0.201,0.873,27.2,-45.6,2
none,2,15,70,0,2,24,1540,-0.152,0.914,22.5,698,-0.201,0.873,27.2,-45.6,2
none,2,15,70,0,2,48,1540,-0.152,0.914,22.5,698,-0.201,0.873,27.2,-45.6,2
none,2,15,70,0,3,0,1420,-0.186,0.919,29.4,621,-0.062,0.966,37.1,-43.2,3
none,2,15,70,0,3,24,1420,-0.186,0.919,29.4,621,-0.062,0.966,37.1,-43.2,3
none,2,15,70,0,3,48,1420,-0.186,0.919,29.4,621,-0.062,0.966,37.1,-43.2,3
none,2,15,70,0,5,0,1219,-0.296,0.906,39.5,520,-0.148,0.944,48.1,-49.9,2
none,2,15,70,0,5,24,1219,-0.296,0.906,39.5,520,-0.148,0.944,48.1,-49.9,2
none,2,15,70,0,5,48,1219,-0.296,0.906,39.5,520,-0.148,0.944,48.1,-49.9,2
none,2,15,70,2,2,0,1550,-0.136,0.920,29.4,703,-0.278,0.806,32.8,-47.2,0
none,2,15,70,2,2,24,1550,-0.136,0.920,29.4,703,-0.278,0.806,32.8,-47.2,0
none,2,15,70,2,2,48,1550,-0.136,0.920,29.4,703,-0.278,0.806,32.8,-47.2,0
none,2,15,70,2,3,0,1439,-0.133,0.936,38.0,627,-0.163,0.905,43.1,-46.4,2
none,2,15,70,2,3,24,1439,-0.133,0.936,38.0,627,-0.163,0.905,43.1,-46.4,2
none,2,15,70,2,3,48,1439,-0.133,0.936,38.0,627,-0.163,0.905,43.1,-46.4,2
none,2,15,70,2,5,0,1250,-0.248,0.914,48.4,530,-0.186,0.915,54.5,-52.8,1
none,2,15,70,2,5,24,1250,-0.248,0.914,48.4,530,-0.186,0.915,54.5,-52.8,1
none,2,15,70,2,5,48,1250,-0.248,0.914,48.4,530,-0.186,0.915,54.5,-52.8,1
none,2,15,70,3,2,0,1550,-0.178,0.899,26.4,703,-0.188,0.872,30.5,-44.1,0
none,2,15,70,3,2,24,1550,-0.178,0.899,26.4,703,-0.188,0.872,30.5,-44.1,0
none,2,15,70,3,2,48,1550,-0.178,0.899,26.4,703,-0.188,0.872,30.5,-44.1,0
none,2,15,70,3,3,0,1436,-0.181,0.917,34.9,625,-0.114,0.936,40.0,-45.1,1
none,2,15,70,3,3,24,1436,-0.181,0.917,34.9,625,-0.114,0.936,40.0,-45.1,1
none,2,15,70,3,3,48,1436,-0.181,0.917,34.9,625,-0.114,0.936,40.0,-45.1,1
none,2,15,70,3,5,0,1241,-0.260,0.912,45.9,527,-0.119,0.950,52.0,-49.7,2
none,2,15,70,3,5,24,1241,-0.260,0.912,45.9,527,-0.119,0.950,52.0,-49.7,2
none,2,15,70,3,5,48,1241,-0.260,0.912,45.9,527,-0.119,0.950,52.0,-49.7,2
none,3,5,60,0,2,0,156,-0.473,0.719,14.5,57,1.705,2.041,36.6,-10.5,4
none,3,5,60,0,2,24,156,-0.473,0.719,14.5,57,1.705,2.041,36.6,-10.5,4
none,3,5,60,0,2,48,156,-0.473,0.719,14.5,57,1.705,2.041,36.6,-10.5,4
none,3,5,60,0,3,0,153,-0.723,0.655,18.5,55,1.235,1.476,38.4,-14.9,4
