guard,coreLen,coreTh,exitTh,tp,sl,maxBars,trainN,trainExp,trainPF,trainWin,testN,testExp,testPF,testWin,testDD,robust
none,2,5,70,3,5,0,2933,-0.075,0.883,59.6,1390,-0.226,0.640,55.0,-54.5,0
none,2,5,70,3,5,24,2933,-0.075,0.883,59.6,1390,-0.226,0.640,55.0,-54.6,0
none,2,5,70,3,5,48,2933,-0.075,0.883,59.6,1390,-0.226,0.640,55.0,-54.5,0
none,2,10,60,0,2,0,6429,-0.143,0.752,55.6,2803,-0.203,0.623,53.0,-70.2,0
none,2,10,60,0,2,24,6429,-0.143,0.752,55.6,2803,-0.203,0.623,53.0,-70.2,0
none,2,10,60,0,2,48,6429,-0.143,0.752,55.6,2803,-0.203,0.623,53.0,-70.2,0
none,2,10,60,0,3,0,5847,-0.128,0.775,57.1,2546,-0.221,0.597,53.2,-71.2,0
none,2,10,60,0,3,24,5847,-0.128,0.775,57.1,2546,-0.221,0.597,53.2,-71.2,0
none,2,10,60,0,3,48,5847,-0.128,0.775,57.1,2546,-0.221,0.597,53.2,-71.2,0
none,2,10,60,0,5,0,5432,-0.107,0.802,57.7,2397,-0.219,0.590,53.7,-68.9,0
none,2,10,60,0,5,24,5432,-0.107,0.802,57.7,2397,-0.219,0.590,53.7,-68.9,0
none,2,10,60,0,5,48,5432,-0.107,0.802,57.7,2397,-0.219,0.590,53.7,-68.9,0
none,2,10,60,2,2,0,6435,-0.141,0.754,55.8,2803,-0.203,0.623,53.1,-70.2,0
none,2,10,60,2,2,24,6435,-0.141,0.754,55.8,2803,-0.203,0.623,53.1,-70.2,0
none,2,10,60,2,2,48,6435,-0.141,0.754,55.8,2803,-0.203,0.623,53.1,-70.2,0
none,2,10,60,2,3,0,5853,-0.130,0.770,57.2,2548,-0.221,0.597,53.3,-71.0,0
none,2,10,60,2,3,24,5853,-0.130,0.770,57.2,2548,-0.221,0.597,53.3,-71.0,0
none,2,10,60,2,3,48,5853,-0.130,0.770,57.2,2548,-0.221,0.597,53.3,-71.0,0
none,2,10,60,2,5,0,5438,-0.110,0.796,57.8,2399,-0.218,0.592,53.8,-68.5,0
none,2,10,60,2,5,24,5438,-0.110,0.796,57.8,2399,-0.218,0.592,53.8,-68.6,0
none,2,10,60,2,5,48,5438,-0.110,0.796,57.8,2399,-0.218,0.592,53.8,-68.5,0
none,2,10,60,3,2,0,6430,-0.144,0.750,55.6,2803,-0.204,0.622,53.0,-70.2,0
none,2,10,60,3,2,24,6430,-0.144,0.750,55.6,2803,-0.204,0.622,53.0,-70.2,0
none,2,10,60,3,2,48,6430,-0.144,0.750,55.6,2803,-0.204,0.622,53.0,-70.2,0
none,2,10,60,3,3,0,5848,-0.129,0.773,57.2,2546,-0.222,0.597,53.2,-71.2,0
none,2,10,60,3,3,24,5848,-0.129,0.773,57.2,2546,-0.222,0.597,53.2,-71.2,0
none,2,10,60,3,3,48,5848,-0.129,0.773,57.2,2546,-0.222,0.597,53.2,-71.2,0
none,2,10,60,3,5,0,5433,-0.108,0.801,57.7,2397,-0.220,0.589,53.7,-68.9,0
none,2,10,60,3,5,24,5433,-0.108,0.801,57.7,2397,-0.220,0.589,53.7,-68.9,0
none,2,10,60,3,5,48,5433,-0.108,0.801,57.7,2397,-0.220,0.589,53.7,-68.9,0
