guard,coreLen,coreTh,exitTh,tp,sl,maxBars,trainN,trainExp,trainPF,trainWin,testN,testExp,testPF,testWin,testDD,robust
none,2,5,60,0,2,0,3164,-0.397,0.681,39.3,1257,-0.383,0.651,46.1,-66.7,0
none,2,5,60,0,2,24,3164,-0.397,0.681,39.3,1257,-0.383,0.651,46.1,-66.7,0
none,2,5,60,0,2,48,3164,-0.397,0.681,39.3,1257,-0.383,0.651,46.1,-66.7,0
none,2,5,60,0,3,0,2804,-0.410,0.721,47.3,1076,-0.434,0.654,52.1,-67.0,0
none,2,5,60,0,3,24,2804,-0.410,0.721,47.3,1076,-0.434,0.654,52.1,-67.0,0
none,2,5,60,0,3,48,2804,-0.410,0.721,47.3,1076,-0.434,0.654,52.1,-67.0,0
none,2,5,60,0,5,0,2426,-0.413,0.757,55.4,945,-0.414,0.688,58.0,-62.8,0
none,2,5,60,0,5,24,2426,-0.413,0.757,55.4,945,-0.414,0.688,58.0,-62.8,0
none,2,5,60,0,5,48,2426,-0.413,0.757,55.4,945,-0.414,0.688,58.0,-62.8,0
none,2,5,60,2,2,0,3165,-0.373,0.688,41.5,1257,-0.392,0.638,46.7,-67.1,0
none,2,5,60,2,2,24,3165,-0.373,0.688,41.5,1257,-0.392,0.638,46.7,-67.1,0
none,2,5,60,2,2,48,3165,-0.373,0.688,41.5,1257,-0.392,0.638,46.7,-67.1,0
none,2,5,60,2,3,0,2805,-0.401,0.712,49.7,1078,-0.442,0.640,52.9,-67.3,0
none,2,5,60,2,3,24,2805,-0.401,0.712,49.7,1078,-0.442,0.640,52.9,-67.3,0
none,2,5,60,2,3,48,2805,-0.401,0.712,49.7,1078,-0.442,0.640,52.9,-67.3,0
none,2,5,60,2,5,0,2427,-0.411,0.740,57.5,948,-0.415,0.677,59.0,-62.3,0
none,2,5,60,2,5,24,2427,-0.411,0.740,57.5,948,-0.415,0.677,59.0,-62.3,0
none,2,5,60,2,5,48,2427,-0.411,0.740,57.5,948,-0.415,0.677,59.0,-62.3,0
none,2,5,60,3,2,0,3164,-0.385,0.688,40.1,1257,-0.402,0.631,46.3,-67.6,0
none,2,5,60,3,2,24,3164,-0.385,0.688,40.1,1257,-0.402,0.631,46.3,-67.6,0
none,2,5,60,3,2,48,3164,-0.385,0.688,40.1,1257,-0.402,0.631,46.3,-67.6,0
none,2,5,60,3,3,0,2804,-0.403,0.722,48.2,1078,-0.454,0.635,52.4,-67.8,0
none,2,5,60,3,3,24,2804,-0.403,0.722,48.2,1078,-0.454,0.635,52.4,-67.8,0
none,2,5,60,3,3,48,2804,-0.403,0.722,48.2,1078,-0.454,0.635,52.4,-67.8,0
